step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFlaggedFraud,FLAG,timestamp
274,CASH_OUT,813.7533541848298,C8715,7065.345568120067,6251.592213935237,M8471,20600.478595063432,21414.231949248264,0,0,2025-05-09 22:51:14
274,PAYMENT,749.1009621005636,C4202,4724.408216025018,3975.3072539244545,M5795,35552.74871112552,36301.84967322608,0,0,2025-05-09 22:51:14
274,TRANSFER,334.2356290435604,C2350,2971.0610484338863,2636.825419390326,M5510,42773.47233238158,43107.70796142514,0,0,2025-05-09 22:51:14
274,PAYMENT,353.8509432740893,C4414,2753.58305069095,2399.732107416861,M3157,12693.56873397443,13047.41967724852,0,0,2025-05-09 22:51:14
274,TRANSFER,738.40927635266,C7248,3991.7304629433606,3253.3211865907006,M9883,41757.85020993745,42496.25948629011,0,0,2025-05-09 22:51:14
274,CASH_OUT,719.2850192185866,C6000,3645.854976243093,2926.5699570245065,M1991,33517.53361601607,34236.81863523466,0,0,2025-05-09 22:51:14
274,DEBIT,150.52564907904267,C4027,1346.8119809855204,1196.2863319064777,M1103,26533.4789710729,26684.00462015194,0,0,2025-05-09 22:51:14
274,PAYMENT,923.7763739871863,C8182,1468.1542857009465,544.3779117137602,M2144,39586.672460271555,40510.44883425874,0,0,2025-05-09 22:51:14
274,CASH_OUT,21.39959584370899,C9336,193.47839627732557,172.07880043361658,M9865,36944.797148085345,36966.19674392905,0,0,2025-05-09 22:51:14
274,DEBIT,323.7158296560068,C2878,988.8757240577561,665.1598944017493,M3691,3552.0902942870302,3875.806123943037,0,0,2025-05-09 22:51:14
274,PAYMENT,230.43740607702065,C6433,1339.5892714207912,1109.1518653437706,M7968,36179.19010297907,36409.62750905609,0,0,2025-05-09 22:51:14
274,DEBIT,59.99683092744167,C1873,434.86918006808196,374.87234914064027,M9962,12157.066842144499,12217.06367307194,0,0,2025-05-09 22:51:14
274,CASH_OUT,444.7582552139304,C4153,558.9262367435915,114.16798152966112,M3150,11173.474079454094,11618.232334668024,0,0,2025-05-09 22:51:14
274,DEBIT,245.53728677696617,C9079,848.0862031976202,602.548916420654,M2432,3871.3836496531985,4116.920936430165,0,0,2025-05-09 22:51:14
274,DEBIT,89.51920397571793,C6096,451.6929345883955,362.17373061267756,M8349,44086.41585465113,44175.93505862685,0,0,2025-05-09 22:51:14
274,PAYMENT,578.9861920965786,C7102,3388.445895320353,2809.4597032237743,M9331,9965.033448574006,10544.019640670584,0,0,2025-05-09 22:51:14
274,PAYMENT,511.6087071235104,C6436,2857.468875125991,2345.8601680024803,M6509,45112.44823737807,45624.05694450158,0,0,2025-05-09 22:51:14
274,TRANSFER,51.725638073522205,C6808,173.0727740948237,121.3471360213015,M8119,3614.4952516732833,3666.2208897468054,0,0,2025-05-09 22:51:14
274,PAYMENT,1.0579402318548783,C2858,2.570522906082186,1.5125826742273079,M7651,28938.6629042034,28939.720844435255,0,1,2025-05-09 22:51:14
274,CASH_OUT,4.034074857096986,C7662,27.9587916343518,23.924716777254815,M4951,42352.309861691785,42356.34393654888,0,1,2025-05-09 22:51:14
274,TRANSFER,913.8782710044493,C2825,7123.296089099282,6209.417818094833,M7434,41817.90099084594,42731.77926185039,0,0,2025-05-09 22:51:14
274,TRANSFER,779.5427728124882,C3458,3195.9585719823494,2416.415799169861,M9675,29644.71651635855,30424.259289171037,0,0,2025-05-09 22:51:14
274,CASH_OUT,260718.76337721423,C9620,312862.51605265704,52143.75267544281,M3000,34049.89121315437,294768.6545903686,1,1,2025-05-09 22:51:14
274,DEBIT,886.5381700370276,C5779,1587.2589404418118,700.7207704047842,M8998,40464.823649203616,41351.36181924064,0,0,2025-05-09 22:51:14
274,TRANSFER,304.28589899479914,C4202,811.946101228179,507.6602022333799,M6272,44225.92075268125,44530.20665167605,0,0,2025-05-09 22:51:14
274,TRANSFER,145.57302716862236,C2052,1312.1799167065135,1166.6068895378912,M9040,27889.341340473267,28034.91436764189,0,0,2025-05-09 22:51:14
274,CASH_OUT,822.649494883683,C3247,7709.520260173787,6886.870765290105,M5695,13738.692328468316,14561.341823351999,0,0,2025-05-09 22:51:14
274,DEBIT,169.36340848120676,C3461,1050.3926267698105,881.0292182886037,M7093,3655.642384251967,3825.0057927331736,0,0,2025-05-09 22:51:14
274,CASH_OUT,163.8548594753798,C3822,321.8510898880435,157.99623041266366,M6751,33660.052028275924,33823.906887751305,0,0,2025-05-09 22:51:14
274,DEBIT,277.17573456531227,C1352,572.5821316134924,295.4063970481801,M6959,6251.740367414898,6528.91610198021,0,0,2025-05-09 22:51:14
274,DEBIT,83.99289651364761,C8757,351.54281016881924,267.5499136551716,M2134,34125.40024337009,34209.39313988374,0,0,2025-05-09 22:51:14
274,TRANSFER,979.9276342032805,C7662,9199.221738825905,8219.294104622624,M9146,23650.02333748234,24629.95097168562,0,0,2025-05-09 22:51:14
274,PAYMENT,775.1340501412778,C7987,3823.368063333079,3048.2340131918013,M9307,27968.514541394925,28743.648591536203,0,0,2025-05-09 22:51:14
